127.0.0.1 - - [28/Jun/2023:11:57:30 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:57:33 -0300] "GET /aluguel/ HTTP/1.1" 200 11228
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:57:34 -0300] "GET /aluguel/faces/javax.faces.resource/estilos.css;jsessionid=7F5490D9AA2C126E153CCC34726FADF8?ln=css HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:57:34 -0300] "GET /aluguel/faces/javax.faces.resource/layout/layout.css;jsessionid=7F5490D9AA2C126E153CCC34726FADF8?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:57:34 -0300] "GET /aluguel/faces/javax.faces.resource/jquery/jquery.js;jsessionid=7F5490D9AA2C126E153CCC34726FADF8?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:57:34 -0300] "GET /aluguel/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=7F5490D9AA2C126E153CCC34726FADF8?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:57:34 -0300] "GET /aluguel/faces/javax.faces.resource/primefaces.css;jsessionid=7F5490D9AA2C126E153CCC34726FADF8?ln=primefaces&v=4.0 HTTP/1.1" 200 53376
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:57:34 -0300] "GET /aluguel/faces/javax.faces.resource/primefaces.js;jsessionid=7F5490D9AA2C126E153CCC34726FADF8?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:57:34 -0300] "GET /aluguel/faces/javax.faces.resource/scripts.js;jsessionid=7F5490D9AA2C126E153CCC34726FADF8?ln=js HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:57:34 -0300] "GET /aluguel/faces/javax.faces.resource/layout/layout.js;jsessionid=7F5490D9AA2C126E153CCC34726FADF8?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:09 -0300] "GET /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 29889
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:09 -0300] "GET /aluguel/faces/javax.faces.resource/estilos.css;jsessionid=23FBD4CCAE147379FC7FF52208E22DA3?ln=css HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:09 -0300] "GET /aluguel/faces/javax.faces.resource/jquery/jquery.js;jsessionid=23FBD4CCAE147379FC7FF52208E22DA3?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:09 -0300] "GET /aluguel/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=23FBD4CCAE147379FC7FF52208E22DA3?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:09 -0300] "GET /aluguel/faces/javax.faces.resource/layout/layout.css;jsessionid=23FBD4CCAE147379FC7FF52208E22DA3?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:09 -0300] "GET /aluguel/faces/javax.faces.resource/primefaces.js;jsessionid=23FBD4CCAE147379FC7FF52208E22DA3?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:09 -0300] "GET /aluguel/faces/javax.faces.resource/primefaces.css;jsessionid=23FBD4CCAE147379FC7FF52208E22DA3?ln=primefaces&v=4.0 HTTP/1.1" 200 53376
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:09 -0300] "GET /aluguel/faces/javax.faces.resource/scripts.js;jsessionid=23FBD4CCAE147379FC7FF52208E22DA3?ln=js HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:09 -0300] "GET /aluguel/faces/javax.faces.resource/theme.css?ln=primefaces-trontastic HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:09 -0300] "GET /aluguel/faces/javax.faces.resource/layout/layout.js;jsessionid=23FBD4CCAE147379FC7FF52208E22DA3?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:09 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-bg_gloss-wave_55_000000_500x100.png?ln=primefaces-trontastic HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:09 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-icons_9fda58_256x240.png?ln=primefaces-trontastic HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:10 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-icons_b8ec79_256x240.png?ln=primefaces-trontastic HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:10 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-bg_gloss-wave_85_9fda58_500x100.png?ln=primefaces-trontastic HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:10 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-bg_flat_0_4c4c4c_40x100.png?ln=primefaces-trontastic HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:10 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-bg_glass_40_0a0a0a_1x400.png?ln=primefaces-trontastic HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:10 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-bg_glass_55_f1fbe5_1x400.png?ln=primefaces-trontastic HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:14 -0300] "GET /aluguel HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:14 -0300] "GET /aluguel/ HTTP/1.1" 200 10704
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:14 -0300] "GET /aluguel/faces/javax.faces.resource/theme.css?ln=primefaces-trontastic HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:14 -0300] "GET /aluguel/faces/javax.faces.resource/estilos.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:14 -0300] "GET /aluguel/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:14 -0300] "GET /aluguel/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:14 -0300] "GET /aluguel/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:14 -0300] "GET /aluguel/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:14 -0300] "GET /aluguel/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:14 -0300] "GET /aluguel/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:14 -0300] "GET /aluguel/faces/javax.faces.resource/scripts.js?ln=js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:15 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-icons_9fda58_256x240.png?ln=primefaces-trontastic HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:15 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-bg_gloss-wave_55_000000_500x100.png?ln=primefaces-trontastic HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:15 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-bg_gloss-wave_85_9fda58_500x100.png?ln=primefaces-trontastic HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:15 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-icons_b8ec79_256x240.png?ln=primefaces-trontastic HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:15 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-bg_flat_0_4c4c4c_40x100.png?ln=primefaces-trontastic HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:15 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-bg_glass_40_0a0a0a_1x400.png?ln=primefaces-trontastic HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:16 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-bg_glass_60_000000_1x400.png?ln=primefaces-trontastic HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:21 -0300] "GET /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 26589
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:21 -0300] "GET /aluguel/faces/javax.faces.resource/estilos.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:21 -0300] "GET /aluguel/faces/javax.faces.resource/theme.css?ln=primefaces-trontastic HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:21 -0300] "GET /aluguel/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:21 -0300] "GET /aluguel/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:21 -0300] "GET /aluguel/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:21 -0300] "GET /aluguel/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
