127.0.0.1 - - [02/Jul/2023:17:33:32 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:33:41 -0300] "GET /aluguel/ HTTP/1.1" 200 11235
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:33:41 -0300] "GET /aluguel/faces/javax.faces.resource/estilos.css;jsessionid=4142F273A80A41A8BBDF860A41AE72E7?ln=css HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:33:41 -0300] "GET /aluguel/faces/javax.faces.resource/theme.css?ln=primefaces-trontastic HTTP/1.1" 200 18597
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:33:41 -0300] "GET /aluguel/faces/javax.faces.resource/primefaces.css;jsessionid=4142F273A80A41A8BBDF860A41AE72E7?ln=primefaces&v=4.0 HTTP/1.1" 200 53376
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:33:41 -0300] "GET /aluguel/faces/javax.faces.resource/layout/layout.css;jsessionid=4142F273A80A41A8BBDF860A41AE72E7?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:33:41 -0300] "GET /aluguel/faces/javax.faces.resource/jquery/jquery.js;jsessionid=4142F273A80A41A8BBDF860A41AE72E7?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:33:41 -0300] "GET /aluguel/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=4142F273A80A41A8BBDF860A41AE72E7?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:33:41 -0300] "GET /aluguel/faces/javax.faces.resource/layout/layout.js;jsessionid=4142F273A80A41A8BBDF860A41AE72E7?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:33:41 -0300] "GET /aluguel/faces/javax.faces.resource/scripts.js;jsessionid=4142F273A80A41A8BBDF860A41AE72E7?ln=js HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:33:41 -0300] "GET /aluguel/faces/javax.faces.resource/primefaces.js;jsessionid=4142F273A80A41A8BBDF860A41AE72E7?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:33:42 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-icons_9fda58_256x240.png?ln=primefaces-trontastic HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:33:42 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-bg_gloss-wave_55_000000_500x100.png?ln=primefaces-trontastic HTTP/1.1" 200 3153
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:33:42 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-icons_b8ec79_256x240.png?ln=primefaces-trontastic HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:33:42 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-bg_gloss-wave_85_9fda58_500x100.png?ln=primefaces-trontastic HTTP/1.1" 200 4381
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:33:42 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-bg_flat_0_4c4c4c_40x100.png?ln=primefaces-trontastic HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:33:42 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-bg_glass_40_0a0a0a_1x400.png?ln=primefaces-trontastic HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:33:43 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-bg_glass_60_000000_1x400.png?ln=primefaces-trontastic HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:34:22 -0300] "GET /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 29765
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:34:22 -0300] "GET /aluguel/faces/javax.faces.resource/estilos.css;jsessionid=EF68BC05B330C70B4915539FDC96BF30?ln=css HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:34:22 -0300] "GET /aluguel/faces/javax.faces.resource/theme.css?ln=primefaces-trontastic HTTP/1.1" 200 18597
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:34:22 -0300] "GET /aluguel/faces/javax.faces.resource/primefaces.css;jsessionid=EF68BC05B330C70B4915539FDC96BF30?ln=primefaces&v=4.0 HTTP/1.1" 200 53376
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:34:22 -0300] "GET /aluguel/faces/javax.faces.resource/layout/layout.css;jsessionid=EF68BC05B330C70B4915539FDC96BF30?ln=primefaces&v=4.0 HTTP/1.1" 200 542
